idx,sec,addr
1,中山區,松江路185號
2,大安區,仁愛路四段71巷1號
3,中山區,民生東路一段54號
4,中山區,林森北路107巷30號
5,內湖區,新明路163號
6,中山區,林森北路133巷5號
7,大安區,敦化南路二段164號
8,中山區,松江路123巷10號
9,北投區,中央南路二段12之1號
10,南港區,玉成街140巷25號
11,中山區,南京東路三段89巷2號
12,北投區,尊賢街218巷27弄9號
13,士林區,故宮路47巷6號
14,南港區,興中路70號
15,中山區,南京東路二段144號
16,中山區,南京東路二段146號
17,士林區,大西路14號
18,北投區,石牌路一段71巷3弄2號
19,大安區,大安路一段51巷20號
20,士林區,葫蘆街30巷37號
21,信義區,信義路四段401號
22,大安區,瑞安街45號
23,信義區,松山路541巷17號
24,信義區,大道路42巷14號
25,松山區,南京東路五段250巷2弄24號
26,中正區,信義路二段255號
27,內湖區,內湖路一段737巷45號
28,松山區,民生東路五段44號
29,中山區,林森北路85巷56號
30,信義區,福德街268巷26弄8號
31,中山區,松江路188巷6號
32,大安區,信義路二段228巷9號
33,大安區,延吉街110號
34,中山區,龍江路318巷2號
35,中山區,林森北路107巷40號
36,信義區,吳興街220巷17號
37,信義區,永吉路225巷4弄27號
38,大安區,和平東路一段11巷9之3號
39,北投區,致遠一路二段12巷5弄6號
40,南港區,玉成街235巷18號
41,大同區,延平北路四段235巷3號
42,松山區,新東街16巷7號
43,信義區,吳興街284巷24弄54號
44,南港區,成福路121巷36號
45,信義區,信義路五段150巷342弄59號
46,北投區,永興路二段20號
47,大安區,永康街31之6號
48,士林區,前港街88號
49,大安區,羅斯福路三段283巷23號
50,大同區,哈密街23巷29號
51,大安區,延吉街135之2號
52,中山區,中山北路二段84巷6號
53,中正區,金山南路一段67巷15號
54,內湖區,康寧路一段138號
55,文山區,興隆路一段174號
56,大安區,樂業街94巷7弄5號
57,內湖區,內湖路一段91巷12弄18號
58,內湖區,內湖路一段91巷12弄20號
59,松山區,復興北路431號
60,士林區,承德路四段80巷39號
61,南港區,玉成街25巷7號
62,南港區,南港路三段80巷57號
63,南港區,南港路三段80巷59號
64,大安區,安居街46巷8號
65,中山區,德惠街111號
66,文山區,萬盛街28號
67,士林區,福港街244巷5號
68,大同區,民族西路169巷33號
69,松山區,八德路三段158巷10號
70,大安區,潮州街24號
71,中山區,民權東路三段75巷2弄16號
72,大安區,四維路216巷11之3號
73,萬華區,艋舺大道120巷10號
74,中山區,民生東路二段18號
75,大安區,新生南路二段16巷8之1號
76,南港區,成功路一段63之1號
77,中山區,合江街144巷23號
78,信義區,忠孝東路五段790巷24弄1號
79,中山區,新生北路三段11巷51號
80,中山區,渭水路18號
81,中山區,民權東路二段135巷30弄7號
82,大安區,復興南路二段279號
83,南港區,玉成街130號
84,信義區,永吉路120巷80弄2號
85,北投區,中央南路二段14之1號
86,松山區,南京東路五段250巷36弄58號
87,松山區,民族東路755號
88,松山區,南京東路四段53巷5弄1號
89,士林區,華齡街1巷10號
90,萬華區,內江街55巷17號
91,松山區,八德路二段437巷2弄12號
92,大安區,光復南路308巷35號
93,中山區,吉林路456巷29號
94,信義區,和平東路三段435巷7弄9號
95,萬華區,三水街25巷3號
96,中山區,雙城街17巷9號
97,中山區,復興北路514巷39號
98,文山區,育英街17巷16號
99,信義區,崇德街63巷25弄3號
