idx,sec,addr,Address,Lat,Lng
1,中山區,松江路185號,中山區松江路185號,25.0564886,121.5333489
2,大安區,仁愛路四段71巷1號,大安區仁愛路四段71巷1號,25.0381916,121.5466881
3,中山區,民生東路一段54號,中山區民生東路一段54號,25.0579207,121.5249262
4,中山區,林森北路107巷30號,中山區林森北路107巷30號,25.0500861,121.5259955
5,內湖區,新明路163號,內湖區新明路163號,25.0589508,121.5890717
6,中山區,林森北路133巷5號,中山區林森北路133巷5號,25.0510957,121.5255717
7,大安區,敦化南路二段164號,大安區敦化南路二段164號,25.0243609,121.5483942
8,中山區,松江路123巷10號,中山區松江路123巷10號,25.0527972,121.5341401
9,北投區,中央南路二段12之1號,北投區中央南路二段12之1號,25.1271149,121.5001448
10,南港區,玉成街140巷25號,南港區玉成街140巷25號,25.043919,121.582737
11,中山區,南京東路三段89巷2號,中山區南京東路三段89巷2號,25.0525608,121.5386571
12,北投區,尊賢街218巷27弄9號,北投區尊賢街218巷27弄9號,25.1172118,121.5084547
13,士林區,故宮路47巷6號,士林區故宮路47巷6號,25.096436,121.547953
14,南港區,興中路70號,南港區興中路70號,25.0570587,121.6067573
15,中山區,南京東路二段144號,中山區南京東路二段144號,25.05172,121.5339649
16,中山區,南京東路二段146號,中山區南京東路二段146號,25.051721,121.534017
17,士林區,大西路14號,士林區大西路14號,25.0899109,121.5242281
18,北投區,石牌路一段71巷3弄2號,北投區石牌路一段71巷3弄2號,25.1138704,121.5110211
19,大安區,大安路一段51巷20號,大安區大安路一段51巷20號,25.0430421,121.5469192
20,士林區,葫蘆街30巷37號,士林區葫蘆街30巷37號,25.0817873,121.5098396
21,信義區,信義路四段401號,信義區信義路四段401號,25.0333532,121.5587219
22,大安區,瑞安街45號,大安區瑞安街45號,25.0297331,121.5430394
23,信義區,松山路541巷17號,信義區松山路541巷17號,25.0379299,121.5788225
24,信義區,大道路42巷14號,信義區大道路42巷14號,25.041368,121.581362
25,松山區,南京東路五段250巷2弄24號,松山區南京東路五段250巷2弄24號,25.0506393,121.5677428
26,中正區,信義路二段255號,中正區信義路二段255號,25.033834,121.531491
27,內湖區,內湖路一段737巷45號,內湖區內湖路一段737巷45號,25.0801934,121.5789872
28,松山區,民生東路五段44號,松山區民生東路五段44號,25.0582088,121.5574311
29,中山區,林森北路85巷56號,中山區林森北路85巷56號,25.049252,121.526917
30,信義區,福德街268巷26弄8號,信義區福德街268巷26弄8號,25.0397423,121.5862487
31,中山區,松江路188巷6號,中山區松江路188巷6號,,
32,大安區,信義路二段228巷9號,大安區信義路二段228巷9號,25.0329269,121.531884
33,大安區,延吉街110號,大安區延吉街110號,25.0408572,121.5545556
34,中山區,龍江路318巷2號,中山區龍江路318巷2號,25.0471757,121.5402454
35,中山區,林森北路107巷40號,中山區林森北路107巷40號,25.049991,121.5264251
36,信義區,吳興街220巷17號,信義區吳興街220巷17號,25.0274944,121.5626218
37,信義區,永吉路225巷4弄27號,信義區永吉路225巷4弄27號,25.046287,121.573548
38,大安區,和平東路一段11巷9之3號,大安區和平東路一段11巷9之3號,25.028231,121.52269
39,北投區,致遠一路二段12巷5弄6號,北投區致遠一路二段12巷5弄6號,25.1117667,121.514803
40,南港區,玉成街235巷18號,南港區玉成街235巷18號,25.0433699,121.5861106
41,大同區,延平北路四段235巷3號,大同區延平北路四段235巷3號,25.0759589,121.5125977
42,松山區,新東街16巷7號,松山區新東街16巷7號,25.0581227,121.5666542
43,信義區,吳興街284巷24弄54號,信義區吳興街284巷24弄54號,25.0233459,121.561836
44,南港區,成福路121巷36號,南港區成福路121巷36號,25.0425713,121.588164
45,信義區,信義路五段150巷342弄59號,信義區信義路五段150巷342弄59號,25.026993,121.571026
46,北投區,永興路二段20號,北投區永興路二段20號,25.139924,121.501788
47,大安區,永康街31之6號,大安區永康街31之6號,25.0311239,121.5295772
48,士林區,前港街88號,士林區前港街88號,25.0849201,121.5195312
49,大安區,羅斯福路三段283巷23號,大安區羅斯福路三段283巷23號,25.0199063,121.5316038
50,大同區,哈密街23巷29號,大同區哈密街23巷29號,25.074611,121.517451
51,大安區,延吉街135之2號,大安區延吉街135之2號,25.0421067,121.5543752
