district,rooftopsNearby,closestRooftop,featuresCount,area,CurrentValue,LandValue
中山區B0260b,2,212.9513535510321,8,1878.5062463057543,6738879,1861504
中山區B0508,1,214.0000657361204,1,797.4896952589849,599573,165148
中山區B0512,3,64.90464826889406,14,1450.320927754907,5949495,1640664
中山區B0513,2,180.26934122114918,7,1905.0304017203814,2904490,804225
中山區B0569,0,329.1814060415456,3,2540.349717170672,941000,259700
中山區B0630,5,71.97533219076273,26,2445.147683099448,7996424,2203386
中山區B0643,5,57.4789748919765,17,2717.3353613510003,8996310,2481390
中山區B0644,2,177.4512747914909,18,3100.801396009157,7045090,1942419
中山區B0675,4,195.592049371782,15,2232.644856243245,10934353,3014489
中山區B0676,1,152.75302858628814,19,2863.2148995775915,6269761,1730358
中山區B0679,6,85.24101984848126,27,2974.410903610262,10975610,3026792
中山區B0685,3,209.13771094952702,10,1243.4644961876986,6320342,1740962
中山區B0696,1,210.78672185927584,34,1756.021044608202,7804175,2154563
中山區B0704,1,211.997916200102,27,4275.8734441322495,8887000,2452700
中山區B0705,3,64.43721969757671,11,1329.8518889350587,5775038,1591226
中山區B0707,1,215.9730739932684,5,779.4768444854437,1600000,441500
中山區B0718,3,163.45775461730494,11,1708.33310569588,3630000,1002100
中山區B0726,2,103.69579355255173,25,1561.5650387996448,10137540,2799956
中山區B0746,2,247.13562753525483,22,1588.4422149826594,6578000,1815000
中山區B0771,6,31.08687226381935,7,1496.7083282227331,3981127,1099189
中山區B0779,2,141.77987112037482,16,2307.270624634399,4992000,1377600
中山區B0781,1,211.1226477926114,25,1328.7476822447695,4843175,1337363
中山區B0785,0,340.0128176951392,14,1128.9439808841626,4277000,1180400
中山區B0795,3,120.9515524802952,10,1516.3940545409823,5289451,1459462
中山區B0804,2,161.5344835884217,1,1311.447447669138,580369,160519
中山區B0809,0,379.6558454332556,40,4213.331269542383,13283848,3668122
中山區B0815,4,135.163293992664,18,1692.146156040106,9142643,2526847
中山區B0817,3,137.39588307589756,14,1825.0100270289747,4251361,1174739
中山區B0824,6,177.8559156692659,15,1771.5537839768604,5503891,1521233
中山區B0832,0,766.7113159262079,10,4171.8361801233705,3178951,879125
中山區B0848,4,144.62954763517442,10,1203.7063549041798,4406259,1215970
中山區B0852,4,236.52010159077716,4,633.9793988141771,2704000,748000
中山區B0856,2,224.4451042573556,16,1763.631161347432,4992000,1377600
中山區B0869,5,265.8614296454353,2,1164.7385976962255,1320345,364791
中山區B0871,5,131.6480402312145,24,2784.8946489129853,6960000,1920000
中山區B0881,1,281.8143974452631,22,3469.6032844219408,7619000,2099900
中山區B0888,3,30.72946424984395,2,1596.6141515174288,688800,189992
中山區B0901,3,69.19711596525899,23,2130.2516209691903,13738635,3794436
中山區B0912,5,111.63064531733922,27,3245.793622933178,7588189,2094541
中山區B0918,3,223.91490583983008,4,1100.0972983579122,2576934,710173
中山區B0919,3,178.56652587542618,9,1097.8227842536696,4032000,1116000
中山區B0927,1,261.27383920810985,23,3472.1873367851945,7306000,2016100
中山區B0929,3,190.05557595225898,14,1682.4000149430292,8655316,2390356
中山區B0930,5,71.50199336743583,6,1213.1922687390215,1732536,478074
中山區B0945,0,329.1814060415456,3,2540.349717170672,941000,259700
中山區B0955,0,302.4782642870094,12,3475.7614036388127,3564000,984000
中山區B0957,0,306.364432982514,4,744.1016394095362,2534049,699482
中山區B0979,2,73.52477993548355,6,1618.2206442591696,2051625,566147
中山區B0982,6,95.55483648072504,9,1209.0887019194952,5305622,1463038
中山區B0983,3,95.18002944502597,12,1086.7557926533914,3812000,1052100
中山區B0984,7,169.91996460710703,15,1134.7935483842348,4710145,1299818
中山區B0988,6,31.08687226381935,7,1496.7083282227331,3981127,1099189
中山區B0991,3,138.10865689591435,12,1855.3945790904645,7709928,2125912
中山區B0995,0,301.86546376096004,14,1714.631552787424,5000447,1380023
中山區B1004,4,37.00188322201877,42,3771.055957890001,12455616,3435043
中山區B1021,1,229.90082392612808,5,3079.7625391357788,1590240,438661
中山區B1022,8,85.0619556168444,16,1974.2237151597733,5341364,1476864
中山區B1023,0,329.1814060415456,3,2540.349717170672,941000,259700
中山區B1026,0,329.1814060415456,3,2540.349717170672,941000,259700
中山區B1035,3,188.757877592306,12,1091.771136096809,3960000,1093200
中山區B1041,5,190.67893413957282,12,1598.025320849988,5480778,1513155
中山區B1042,4,13.623845113674777,39,4637.60003960392,11286245,3112482
中山區B1045,3,41.357829305856846,18,2894.485655145497,7645242,2107831
中山區B1048,2,136.64469875727724,1,815.5381056081351,373543,102884
中山區B1064,1,215.9730739932684,5,779.4768444854437,1600000,441500
中山區B1069,0,313.3153185324873,7,1430.5747545362394,2079000,574000
中山區B1076,3,188.56342984437663,2,904.7041470467695,866589,238991
中山區B1078,4,171.9679174089791,12,1463.2353457505258,4160509,1148195
中山區B2017,6,217.28989359470242,2,1075.7083427098987,1347534,371830
中山區B2018,1,103.49122271724478,1,528.8106370277077,500641,138275
中正區B0612,3,56.58633196548642,20,2409.4707376152082,11090976,3059189
中正區B0621,1,274.7433714989729,17,2198.2394056064954,4043895,1116257
中正區B0627,4,71.30581923240868,22,1201.0515646080155,4179000,1152900
中正區B0633,1,76.61806401414553,6,816.8697781466371,1682651,464229
中正區B0658,1,103.27699237976641,18,2101.6683794180663,12153652,3354911
中正區B0662,2,178.12364241363332,3,1453.4627217403604,1791046,494549
中正區B0664,1,185.5187069894576,25,1243.5150445768902,8150000,2250000
中正區B0714,3,94.54636932690863,1,239.121786025159,918278,253873
中正區B0751,3,116.64501190104215,18,2494.352387397858,9564930,2644586
中正區B0755,2,217.51551924693212,7,735.8702583140762,2839504,784000
中正區B0770,0,579.1330500115964,1,2099.233044754735,416731,115351
中正區B0782,1,68.29084865145018,23,1286.9219180353962,10189000,2806000
中正區B0783,3,187.96993700314053,35,2778.920860599484,20408532,5647766
中正區B0805,0,304.33140032105644,15,1679.6222909686076,5713971,1582496
中正區B0834,1,80.73825053730212,16,3955.754199282765,4256000,1174400
中正區B0844,4,175.40516751159785,16,1731.7726677845346,8041013,2224188
中正區B0851,3,117.0000441280893,5,150.8118520897617,3040000,840000
