district,rooftopsNearby,closestRooftop,featuresCount,area,CurrentValue 2014,CurrentValue 2015,CurrentValue 2016,CurrentValue 2017,CurrentValue 2018
中山區B0260b,2,212.9513535510321,8,1878.5062463057543,0,0,0,6878151,6738879
中山區B0508,1,214.0000657361204,1,797.4896952589849,0,0,0,611223,599573
中山區B0512,3,64.90464826889406,14,1450.320927754907,0,0,0,6058755,5949495
中山區B0513,2,180.26934122114918,7,1905.0304017203814,0,0,0,2974490,2904490
中山區B0569,0,329.1814060415456,3,2540.349717170672,0,0,0,957000,941000
中山區B0630,5,71.97533219076273,26,2445.147683099448,0,0,0,8134985,7996424
中山區B0643,5,57.4789748919765,17,2717.3353613510003,0,0,0,9131226,8996310
中山區B0644,2,177.4512747914909,18,3100.801396009157,0,0,0,7164123,7045090
中山區B0675,4,195.592049371782,15,2232.644856243245,0,0,0,10821586,10934353
中山區B0676,1,152.75302858628814,19,2863.2148995775915,0,0,0,6376487,6269761
中山區B0679,6,85.24101984848126,27,2974.410903610262,0,0,0,11204321,10975610
中山區B0685,3,209.13771094952702,10,1243.4644961876986,0,0,0,6442901,6320342
中山區B0696,1,210.78672185927584,34,1756.021044608202,0,0,0,7908491,7804175
中山區B0704,1,211.997916200102,27,4275.8734441322495,0,0,0,9038000,8887000
中山區B0705,3,64.43721969757671,11,1329.8518889350587,0,0,0,5872977,5775038
中山區B0707,1,215.9730739932684,5,779.4768444854437,0,0,0,1635000,1600000
中山區B0718,3,163.45775461730494,11,1708.33310569588,0,0,0,3685000,3630000
中山區B0726,2,103.69579355255173,25,1561.5650387996448,0,0,0,10285618,10137540
中山區B0746,2,247.13562753525483,22,1588.4422149826594,0,0,0,6666000,6578000
中山區B0771,6,31.08687226381935,7,1496.7083282227331,0,0,0,4057531,3981127
中山區B0779,2,141.77987112037482,16,2307.270624634399,0,0,0,5056000,4992000
中山區B0781,1,211.1226477926114,25,1328.7476822447695,0,0,0,4911491,4843175
中山區B0785,0,340.0128176951392,14,1128.9439808841626,0,0,0,4329000,4277000
中山區B0795,3,120.9515524802952,10,1516.3940545409823,0,0,0,5396932,5289451
中山區B0804,2,161.5344835884217,1,1311.447447669138,0,0,0,591657,580369
中山區B0809,0,379.6558454332556,40,4213.331269542383,0,0,0,13518987,13283848
中山區B0815,4,135.163293992664,18,1692.146156040106,0,0,0,9310341,9142643
中山區B0817,3,137.39588307589756,14,1825.0100270289747,0,0,0,4357123,4251361
中山區B0824,6,177.8559156692659,15,1771.5537839768604,0,0,0,5630449,5503891
中山區B0832,0,766.7113159262079,10,4171.8361801233705,0,0,0,3229957,3178951
中山區B0848,4,144.62954763517442,10,1203.7063549041798,0,0,0,4513480,4406259
中山區B0852,4,236.52010159077716,4,633.9793988141771,0,0,0,2760000,2704000
中山區B0856,2,224.4451042573556,16,1763.631161347432,0,0,0,5088000,4992000
中山區B0869,5,265.8614296454353,2,1164.7385976962255,0,0,0,1346794,1320345
中山區B0871,5,131.6480402312145,24,2784.8946489129853,0,0,0,7056000,6960000
中山區B0881,1,281.8143974452631,22,3469.6032844219408,0,0,0,7737000,7619000
中山區B0888,3,30.72946424984395,2,1596.6141515174288,0,0,0,711874,688800
中山區B0901,3,69.19711596525899,23,2130.2516209691903,0,0,0,14023096,13738635
中山區B0912,5,111.63064531733922,27,3245.793622933178,518342,544000,576000,7750303,7588189
中山區B0918,3,223.91490583983008,4,1100.0972983579122,0,0,0,2626182,2576934
