district,rooftopsNearby,closestRooftop,featuresCount,area
中山區B0260b,4,3.850072272192209e-06,8,1.6661379916245591e-07
中山區B0508,1,4.097151578988088e-06,1,7.073965875845116e-08
中山區B0512,4,3.5925708097238413e-07,14,1.2864687937802502e-07
中山區B0513,5,2.984470533511531e-06,7,1.6896376287368705e-07
中山區B0569,1,8.832643753007943e-06,3,2.2537715845422058e-07
中山區B0630,10,4.5095861361167013e-07,26,2.1689372398343422e-07
中山區B0643,6,2.697920767345118e-07,17,2.410397624976595e-07
中山區B0644,3,3.0129659131351463e-06,18,2.750551346837542e-07
中山區B0675,5,3.302352929817331e-06,15,1.980247163675546e-07
中山區B0676,1,2.289200007981918e-06,19,2.5401459972390235e-07
中山區B0679,9,6.996241861523865e-07,27,2.6382830938921747e-07
中山區B0685,5,3.676478309346853e-06,10,1.1029536729022044e-07
中山區B0696,3,4.26445807912549e-06,34,1.5575457848570864e-07
中山區B0704,1,3.689708889227507e-06,27,3.7934718650580014e-07
中山區B0705,6,4.06861621906331e-07,11,1.1796337463368095e-07
中山區B0707,5,3.821326734331639e-06,5,6.91333390177103e-08
中山區B0718,5,2.5195788896112257e-06,11,1.5153519730741582e-07
中山區B0726,3,1.0560403263430453e-06,25,1.385060354717853e-07
中山區B0746,2,5.42274279950916e-06,22,1.4088143098810719e-07
中山區B0771,8,8.359809286094511e-08,7,1.327529406875179e-07
中山區B0779,4,1.8690332681879246e-06,16,2.0465847307538715e-07
中山區B0781,3,4.29137043520595e-06,25,1.1785647787526808e-07
中山區B0785,1,1.1213271049331115e-05,14,-0.9999998998658628
中山區B0795,3,1.414410653431311e-06,10,1.3450692677116952e-07
中山區B0804,4,2.1465761932502337e-06,1,1.1632443413832766e-07
中山區B0809,0,1.2883255501257462e-05,40,3.737849122457382e-07
中山區B0815,5,1.7850247122794825e-06,18,1.5009158319587887e-07
中山區B0817,5,1.852926651058962e-06,14,1.6188564681430133e-07
中山區B0824,6,2.596863927966319e-06,15,1.5712640066876758e-07
中山區B0832,0,5.3933313577949075e-05,10,-0.9999996298726499
中山區B0848,6,1.9804597828393367e-06,10,1.0676210891088602e-07
中山區B0852,7,4.616498322406751e-06,4,5.623207269790912e-08
中山區B0856,3,4.259634371050735e-06,16,1.564342264855318e-07
中山區B0869,6,5.760317875573403e-06,2,1.033058535926205e-07
中山區B0871,8,1.5019403723386822e-06,24,2.470317491388762e-07
中山區B0881,2,7.387380238801424e-06,22,3.077573722022351e-07
中山區B0888,4,7.748301902444203e-08,2,1.4162322134081875e-07
中山區B0901,4,4.701348432758946e-07,23,1.8893989890469445e-07
中山區B0912,6,1.2197721068919198e-06,27,2.879130399747726e-07
中山區B0918,5,4.095730071718279e-06,4,9.75792211578536e-08
中山區B0919,3,3.060548236443348e-06,9,9.737501050245769e-08
中山區B0927,3,6.475075326212364e-06,23,3.079875101086172e-07
中山區B0929,4,3.1549204811025936e-06,14,1.492305414328581e-07
中山區B0930,7,4.303582621796758e-07,6,1.0761385972009385e-07
中山區B0945,1,8.832643753007943e-06,3,2.2537715845422058e-07
中山區B0955,1,8.845154556995356e-06,12,3.0826507697807733e-07
中山區B0957,2,8.092122687804635e-06,4,6.599577363888395e-08
中山區B0979,2,5.054288337406348e-07,6,1.435256265789262e-07
中山區B0982,7,8.957301171296274e-07,9,-0.9999998927619572
中山區B0983,3,8.83093044520724e-07,12,-1.9999999036025216
中山區B0984,10,2.574751110287158e-06,15,1.0065622127248356e-07
中山區B0988,8,8.359809286094511e-08,7,1.327529406875179e-07
中山區B0991,3,1.8163467280015672e-06,12,-0.9999998354221382
中山區B0995,2,7.860999600199849e-06,14,1.5208237092152374e-07
中山區B1004,6,1.1634654944820983e-07,42,3.3450660250443015e-07
中山區B1021,1,4.7438980530477575e-06,5,2.7322941369183386e-07
中山區B1022,9,6.316234570301358e-07,16,1.7512360685759987e-07
中山區B1023,1,8.832643753007943e-06,3,2.2537715845422058e-07
中山區B1026,1,8.832643753007943e-06,3,2.2537715845422058e-07
中山區B1035,4,2.90373823900773e-06,12,9.684367090041736e-08
中山區B1041,6,3.1585565416335513e-06,12,1.417440804901092e-07
中山區B1042,4,1.5258960577751355e-08,39,4.113728654515328e-07
中山區B1045,4,1.5303376208577503e-07,18,2.56747340184264e-07
中山區B1048,2,1.7079188980981863e-06,1,7.233252807426102e-08
中山區B1064,5,3.821326734331639e-06,5,6.91333390177103e-08
中山區B1069,1,9.472378049705254e-06,7,1.268776828115466e-07
中山區B1076,3,3.482516895302218e-06,2,8.025217422391985e-08
中山區B1078,5,2.695433072326822e-06,12,1.2978323366476886e-07
中山區B2017,6,4.483554758800887e-06,2,9.541496182500206e-08
中山區B2018,1,9.144976143556123e-07,1,4.690118865385831e-08
