士林區B1074,106.7.17
士林區B1071,106.6.13
士林區B1056,106.2.7
士林區B1055,106.1.3
士林區B1046,105.11.23
士林區B1044,105.10.4
士林區B1043,105.10.4
士林區B1038,105.8.31
士林區B1033,105.8.8
士林區B1024,105.5.23
士林區B1000,104.11.11
士林區B0998,104.10.26
士林區B0994,104.10.15
士林區B0975,104.8.3
士林區B0971,104.7.24
士林區B0962,104.6.30
士林區B0935,104.5.1
士林區B0932,104.4.29
士林區B0921,104.4.27
士林區B0907,104.4.8
士林區B0896,103.12.24
士林區B0890,103.11.27
士林區B0887,103.11.24
士林區B0884,103.11.12
士林區B0860,103.8.25
士林區B0855,103.7.31
士林區B0830,103.3.27
士林區B0821,103.3.5
士林區B0810,102.12.30
士林區B0807,102.12.9
士林區B0803,102.11.15
士林區B800,102.11.13
士林區B0799,102.11.12
士林區B0777,102.10.17
士林區B0775,102.10.15
士林區B0764,102.9.24
士林區B0761,102.9.18
士林區B0759,102.9.18
士林區B0749,102.8.2
士林區B0748,102.7.24
士林區B0747,102.7.17
士林區B0737,102.6.21
士林區B0729,102.6.13
士林區B0724,102.5.29
士林區B0706,102.4.9
士林區B0693,102.3.13
士林區B0665,101.12.14
士林區B0661,101.12.5
士林區B0655,101.11.19
士林區B0800,101.11.8
士林區B0648,101.10.29
士林區B0642,101.10.11
士林區B0640,101.10.4
士林區B0635,101.9.13
士林區B0631,101.9.5
士林區B0626,101.8.15
士林區B0619,101.7.26
士林區B0616,101.7.12
士林區B0615,101.6.27
士林區B0660,101.6.14
士林區B0598,101.6.14
士林區B0589,101.5.11
士林區B0588,101.5.11
士林區B0583,101.4.26
士林區B0889,101.2.24
士林區B000B,101.1.11
士林區B0553,100.11.15
士林區B0549,100.10.21
士林區B0530,100.7.28
士林區B0529,100.7.28
士林區B0499,100.5.30
士林區B0498 ,100.5.30
士林區B0497 ,100.4.28
士林區B0496,100.4.28
士林區B0483,100.4.26
士林區B0482,100.4.26
士林區B457,99.11.17
士林區B456,99.11.17
士林區B443,99.9.28
士林區B437,99.8.31
士林區B422,99.8.10
士林區B418,99.8.6
士林區B419,99.8.6
士林區B415,99.8.5
士林區B401,99.6.7
士林區B372,99.2.10
士林區B371,99.4.2
士林區B352,99.2.10
士林區B345,99.2.4
士林區B344,99.2.4
士林區B349,99.1.27
士林區B359,98.10.8
士林區B338,98.11.16
士林區B282,98.7.10
士林區B272,98.6.8
士林區B266,98.4.8
士林區B217,98.1.9
士林區B216,98.01.09
士林區B199,97.12.10
士林區B198,97.11.27
士林區B182,97.10.30
士林區B161,97.8.27
士林區B151,97.7.4
士林區B146,97.6.11
士林區B110,97.1.18
士林區B099,96.11.20
士林區B094,96.10.17
士林區B093,96.10.17
士林區B059,96.5.24
士林區B058,96.5.24
士林區B042,95.12.27
士林區B037,95.11.28
士林區B0024,95.5.30
士林區B0016,93.11.8
Download,107.3.16
大同區B1081,106.9.7
大同區B1062,106.3.9
大同區B1029,105.7.14
大同區B1015,105.1.20
大同區B1011,105.1.18
大同區B0990,104.9.30
大同區B0985,104.8.31
大同區B0949,104.5.29
大同區B0899,104.3.30
大同區B0870,103.10.8
大同區B0862,103.8.28
大同區B0842,103.7.15
大同區B0818,103.2.18
大同區B0816,103.1.29
大同區B0792,102.11.1
大同區B0786,102.10.25
大同區B0776,102.10.15
大同區B0757,102.9.6
大同區B0754,102.8.23
大同區B0710,102.4.12
大同區B0709,102.4.11
大同區B0694,102.3.14
大同區B0690,102.2.23
大同區B0688,102.2.7
大同區B0657,101.11.29
大同區B0639,101.9.21
大同區B0527,100.8.25
大同區B0453_v1,99.11.04
大同區B0452,99.11.04
大同區B0448,99.10.07
大同區B404,99.6.22
大同區B387,99.5.26
大同區B317,98.10.23
大同區B295,98.9.3
大同區B292,98.08.19
大同區B0241,98.3.5
大同區B195,97.11.17
大同區B194,97.11.12
大同區B165,97.9.3
大同區B159,97.8.22
大同區B089,96.9.21
大同區B088,96.9.21
大同區B0079,96.8.8
大同區B0068,96.7.17
大同區B061,96.6.15
大同區PP001,91.8.16
Download,107.1.2
Download,106.12.6
Download,106.11.22
大安區B1083,106.9.20
大安區B1079,106.8.31
大安區B1072,106.6.20
大安區B1066,106.4.25
大安區B1059,106.2.9
大安區B1058,106.2.9
大安區B1053,105.12.20
大安區B1039,105.9.1
大安區B1032,105.8.10
大安區B1027,105.7.6
大安區B1019,105.4.1
大安區B1018,105.3.31
大安區B1017,105.2.2
大安區B1016,105.1.25
大安區B1014,105.1.15
大安區B1012,105.1.19
大安區B1010,105.1.6
大安區B1001,104.11.9
大安區B0996,104.10.23
大安區B0986,104.9.4
大安區B0976,104.7.28
大安區B0969,104.7.14
大安區B0961,104.6.25
大安區B0948,104.5.21
大安區B0944,104.5.21
大安區B0941,104.5.12
大安區B0936,104.5.1
大安區B0922,104.4.23
大安區B0923,104.4.22
大安區B0880,103.11.28
大安區B0886,103.11.21
大安區B0864,103.9.9
大安區B0858,103.8.18
大安區B0845,103.7.18
大安區B0828,103.3.21
大安區B0826,103.3.11
大安區B0825,103.3.11
大安區B0819,103.2.20
大安區B0797,102.11.7
大安區B0796,102.11.7
大安區B0791,102.11.1
大安區B0790,102.11.1
大安區B0787,102.10.29
大安區B0778,102.10.14
大安區B0769,102.9.25
大安區B0766,102.9.18
大安區B0760,102.9.13
大安區B0753,102.8.23
大安區B0745,102.7.5
大安區B0733,102.6.14
大安區B0732,102.6.10
大安區B0729,102.5.31
大安區B0723,102.5.27
大安區B0708,102.4.9
大安區B0702,102.3.26
大安區B0701,102.3.22
大安區B0700,102.3.22
大安區B0695,102.3.13
大安區B0692,102.3.7
大安區B0674,102.1.9
大安區B0673,102.1.8
大安區B0672,101.12.28
大安區B0667,101.12.22
大安區B0656,101.11.21
大安區B0651,101.11.14
大安區B0602,101.10.18
大安區B0280,101.10.18
大安區B0610,101.10.11
大安區B0638,101.9.21
大安區B0636,101.9.19
大安區B0624,101.8.1
大安區B0596,101.6.7
大安區B0587,101.5.8
大安區B0585,101.5.4
大安區B0584,101.5.4
大安區B0582,101.4.25
大安區B0567,101.2.20
大安區B0561,100.12.7
大安區B0559,100.11.18
大安區B0558,100.11.18
大安區B0552,100.10.31
大安區B0536,100.9.23
大安區B0535,100.9.23
大安區B0534,100.9.16
大安區B0533,100.9.16
大安區B0504,100.6.23
大安區B0492,100.5.20
大安區B0491,100.4.29
大安區B0490,100.4.29
大安區B0489,100.4.29
大安區B0488,100.4.29
大安區B0487,100.4.29
大安區B462,99.11.26
大安區B461,99.11.26
大安區B460,99.11.26
大安區B459,99.11.26
大安區B447,99.10.15
大安區B434,99.9.17
大安區B432,99.8.27
大安區B431,99.8.27
大安區B430,99.8.27
大安區B0426,99.8.12
大安區B410,99.7.27
大安區B409,99.7.27
大安區B408,99.7.27
大安區B407,99.7.27
大安區B406,99.7.27
大安區B396,99.6.3
大安區B395,99.6.3
大安區B385,99.5.7
大安區B369,99.3.30
大安區B368,99.3.30
大安區B360,99.3.30
大安區B365,99.2.6
大安區B364,99.2.6
大安區B363,99.2.6
大安區B362,99.2.6
大安區B339,99.1.8
大安區B341,99.1.8
大安區B342,99.1.8
大安區B340,99.1.8
大安區B0152,99.1.8
大安區B324,98.11.13
大安區B327,98.11.13
大安區B325,98.11.13
大安區B326,98.11.13
大安區B320,98.11.5
大安區B321,98.11.5
大安區B367,98.11.3
大安區B310,98.10.13
大安區B309,98.10.13
大安區B297,98.9.2
大安區B296,98.9.2
大安區B291,98.8.13
大安區B285,98.7.31
大安區B126,98.7.31
大安區B274,98.6.12
大安區B273,98.6.12
大安區B269,98.6.5
大安區B262,98.5.8
大安區B253,98.4.10
大安區B252,98.4.10
大安區B251,98.4.10
大安區B244,98.3.30
大安區B0243,98.3.27
大安區B0240,98.3.5
大安區B0236,98.3.4
大安區B0229,98.2.23
大安區B0225,98.2.5
大安區B0220,98.1.20
大安區B0211,98.1.7
大安區B0210,97.12.31
大安區B0208,97.12.24
大安區B188,97.11.7
大安區B187,97.11.7
大安區B179,97.10.22
大安區B173,97.10.2
大安區B172,97.10.2
大安區B0154,97.5.19
大安區B153,97.5.14
大安區B104,97.1.4
大安區B102,96.11.23
大安區B101,96.11.23
大安區B96,96.10.23
大安區B95,96.10.23
大安區B87,96.9.13
大安區B86,96.9.13
大安區B85,96.9.13
大安區B84,96.9.13
大安區B80,96.8.8
大安區B0069,96.7.17
大安區B0067,96.7.17
大安區B0060,96.6.12
大安區B0056,96.5.24
大安區B0053,96.5.14
大安區B52,96.5.14
大安區B51,96.5.8
大安區B44,96.3.13
大安區B39,95.12.05
大安區B0038,95.11.28
大安區B0034,95.10.31
大安區B32,95.10.23
大安區B0028,95.10.2
大安區B0023,95.5.22
大安區B0022,95.3.24
大安區B0020,95.2.16
大安區B0013,93.4.1
Download,107.1.11
Download,106.12.25
中山區B1078,106.8.31
中山區B1076,106.8.16
中山區B1069,106.5.24
中山區B1064,106.3.22
中山區B1048,105.11.2
中山區B1045,105.10.7
中山區B1042,105.9.30
中山區B1041,105.9.13
中山區B1035,105.8.22
中山區B1026,105.5.30
中山區B1023,105.4.26
中山區B1022,105.4.21
中山區B1021,105.4.21
中山區B1004,104.12.18
中山區B0995,104.10.23
中山區B0991,104.10.7
中山區B0988,104.9.9
中山區B0984,104.8.27
中山區B0983,104.8.27
中山區B0982,104.8.27
中山區B0981,104.8.14
中山區B0979,104.8.7
中山區B0957,104.6.15
中山區B0955,104.6.4
中山區B0945,104.5.21
中山區B0930,104.4.27
中山區B0929,104.4.24
中山區B0927,104.4.24
中山區B0918,104.4.22
中山區B0919,104.4.21
中山區B0912,104.4.10
中山區B0901,104.4.1
中山區B0888,103.11.25
中山區B0882,103.11.3
中山區B0881,103.10.30
中山區B0871,103.10.13
中山區B0869,103.9.26
中山區B0856,103.8.5
中山區B0852,103.7.22
中山區B0848,103.7.22
檢討書(pdf),103.7.9
中山區B0832,103.4.10
中山區B0817,103.2.18
中山區B0824,103.2.17
中山區B0815,103.1.13
中山區B0809,102.12.11
中山區B0804,102.12.4
中山區B0795,102.11.7
中山區B0785,102.10.25
中山區B0781,102.10.22
中山區B0779,102.10.18
中山區B0771,102.9.30
中山區B0746,102.7.4
中山區B0726,102.5.31
中山區B0718,102.4.23
中山區B0707,102.4.9
中山區B0705,102.4.9
中山區B0704,102.4.2
中山區B0696,102.3.22
中山區B0685,102.2.4
中山區B0683,102.1.28
中山區B0679,102.1.23
中山區B0676,102.1.17
中山區B0675,102.1.11
中山區B0644,101.10.25
中山區B0643,101.10.25
中山區B0630,101.9.5
中山區B0628,101.8.24
中山區B0618,101.7.25
中山區B0617,101.7.23
中山區B0597,101.6.15
中山區B0593,101.6.6
中山區B0591,101.5.21
中山區B0569,101.2.23
中山區B0563,100.11.15
中山區B0555,100.11.15
中山區B0554,100.11.15
中山區B0550,100.10.24
中山區B0538,100.9.22
中山區B0537,100.9.22
中山區B0528,100.8.25
中山區B0526,100.8.25
中山區B0508,100.6.23
中山區B0260b,100.6.8
中山區B0513,100.6.8
中山區B0512,100.6.8
中山區B458,99.11.19
中山區B455,99.11.12
中山區B445,99.9.28
中山區B444,99.9.20
中山區B442,99.9.20
中山區B436,99.8.31
中山區B397,99.5.31
中山區B350,99.2.9
中山區B343,99.1.8
中山區B332,98.12.25
中山區B331,98.12.24
中山區B322,98.11.12
中山區B316,98.10.23
中山區B315,98.10.23
中山區B314,98.10.23
中山區B313,98.10.23
中山區B312,98.10.23
中山區B307,98.9.24
中山區B306,98.9.24
中山區B300,98.9.4
中山區B281,98.7.10
中山區B270,98.6.5
中山區B026,98.5.7
中山區B261,98.5.7
中山區B260,98.5.7
中山區B259,98.5.7
中山區B238,98.3.4
中山區B237,98.3.4
中山區B234,98.2.6
中山區B213,98.1.7
中山區B212,97.1.7
中山區B201,97.12.10
中山區B197,97.11.19
中山區B196,97.11.19
中山區B193,97.11.10
中山區B192,97.11.10
中山區B180,97.10.28
中山區B177,97.10.15
中山區B176,97.10.7
