No,行政區,違建地點,執行情形
1,文山區,木柵路一段51之1號5樓頂[學生宿舍],處理中
2,文山區,試院路144巷2弄4號4樓頂[學生宿舍],處理中
3,士林區,承德路四段58巷55號4樓頂（學生宿舍專案）,處理中
4,士林區,承德路四段80巷53之1號5樓頂（學生宿舍專案）公告,處理中
5,士林區,芝玉路一段210號5樓頂（學生宿舍專案）,處理中
6,北投區,文林北路98號4樓頂（學生宿舍專案）,處理中
7,中山區,合江街130巷13號4樓頂[學生宿舍],處理中
8,士林區,光華路26巷16號4樓頂（警）學生宿舍,處理中
9,北投區,西安街二段187號5樓頂（學生宿舍）,處理中
10,文山區,溪洲街23巷26號5樓頂（出租學生宿舍）,處理中
11,文山區,秀明路一段103巷2弄9號2樓頂（警）學生宿舍,處理中
12,士林區,後港街50巷6號4樓頂（學生宿舍）,處理中
13,士林區,延平北路五段225號8樓之2屋頂,處理中
14,北投區,石牌路一段166巷62弄6之1號5樓頂,處理中
15,北投區,西安街二段189號5樓頂,處理中
16,北投區,大同街202之1號4樓,處理中
17,文山區,興隆路四段165巷37之1號4樓頂,處理中
18,南港區,昆陽街150之3號5樓頂,已處理
19,文山區,木柵路一段310號4樓頂,處理中
20,士林區,前港街110巷19號4樓頂,處理中
21,松山區,東興街33號5樓頂,處理中
22,內湖區,文德路220巷5弄9號4樓頂,處理中
23,中正區,和平西路一段122號7樓頂,處理中
24,大安區,師大路80巷31號頂樓,處理中
25,大安區,延吉街130號5樓頂,已處理
26,松山區,民生東路五段36巷6弄9號4樓頂,處理中
27,中山區,長春路346號12樓頂,處理中
28,松山區,敦化北路155巷101之3號頂樓,處理中
29,文山區,興隆路一段161號4樓頂,處理中
30,松山區,敦化南路一段25號12樓頂,處理中
31,大安區,臨江街118巷1弄8號5樓頂,處理中
32,松山區,南京東路四段133巷5弄18.20號4樓頂,處理中
33,中山區,新生北路三段84巷38號5樓頂,處理中
34,中正區,羅斯福路三段128巷19號6樓頂,處理中
35,士林區,大東路99號4頂,處理中
36,文山區,興隆路三段39號3樓頂,處理中
37,萬華區,西園路一段282巷25號8樓之4頂樓,處理中
38,內湖區,文德路101巷3弄1號5樓頂,處理中
39,大安區,和平東路三段119巷5號4樓頂,處理中
40,松山區,松河街24號5樓頂,處理中
41,文山區,興隆路三段165號3樓頂,處理中
42,文山區,羅斯福路五段176巷4號5樓頂,已處理
43,文山區,興德路21巷10號3樓頂,處理中
44,大安區,安和路二段80號15樓頂,處理中
45,文山區,興隆路四段58巷16弄2號4樓,已處理
46,大安區,大安路一段84巷2號4樓頂,處理中
47,北投區,石牌路一段71巷9弄7號4樓頂,處理中
48,南港區,重陽路10號5樓頂,其他
49,大安區,辛亥路一段34巷8號3樓頂,處理中
50,信義區,信義路五段150巷342弄46號4樓頂,處理中
51,北投區,致遠二路21號4樓頂,處理中
52,中山區,新生北路一段106號7樓頂,處理中
53,大安區,市民大道四段18號5樓頂,處理中
54,中山區,建國北路二段260號7樓頂,處理中
55,文山區,萬寧街24號4樓頂[第一層],處理中
56,士林區,文昌路249之1號5樓頂,處理中
57,士林區,小北街22巷12號5樓頂,處理中
58,士林區,小北街22巷14號5樓頂,處理中
59,士林區,文林路287號7樓頂,處理中
60,士林區,中山北路七段141巷8之2號5樓頂,處理中
61,北投區,吉利街369巷28號4樓頂,處理中
62,中山區,民族東路410巷2弄16號5樓頂,處理中
63,萬華區,梧州街60巷5號5樓頂,處理中
64,大安區,東豐街36號7樓頂,處理中
65,南港區,興華路76巷3號4樓頂,已處理
66,信義區,和平東路三段509巷17號4樓頂,處理中
67,內湖區,成功路二段12號4樓頂,處理中
68,大安區,和平東路一段183巷11弄3之4號5樓頂,處理中
69,士林區,大南路87號3樓頂,處理中
70,大安區,通化街90號5樓頂,處理中
71,內湖區,文德路101巷3弄2號5樓頂,處理中
72,松山區,民生東路三段130巷5弄16號6樓頂,處理中
73,大安區,敦化南路一段295巷16號4樓頂,處理中
