idx,sec,addr,Address,lat,lng
1,中山區,松江路185號,中山區松江路185號,25.05647,121.53338
2,大安區,仁愛路四段71巷1號,大安區仁愛路四段71巷1號,25.04009,121.54724
3,中山區,民生東路一段54號,中山區民生東路一段54號,25.05801,121.52554
4,中山區,林森北路107巷30號,中山區林森北路107巷30號,25.05,121.52605
5,內湖區,新明路163號,內湖區新明路163號,25.05893,121.58906
6,中山區,林森北路133巷5號,中山區林森北路133巷5號,25.05107,121.52557
7,大安區,敦化南路二段164號,大安區敦化南路二段164號,25.02433,121.54841
8,中山區,松江路123巷10號,中山區松江路123巷10號,25.05277,121.53415
9,北投區,中央南路二段12之1號,北投區中央南路二段12之1號,39.78373,-100.445882
10,南港區,玉成街140巷25號,南港區玉成街140巷25號,25.04392,121.58274
11,中山區,南京東路三段89巷2號,中山區南京東路三段89巷2號,25.05286,121.53865
12,北投區,尊賢街218巷27弄9號,北投區尊賢街218巷27弄9號,25.11721,121.50841
13,士林區,故宮路47巷6號,士林區故宮路47巷6號,25.09643,121.54795
14,南港區,興中路70號,南港區興中路70號,25.05711,121.60678
15,中山區,南京東路二段144號,中山區南京東路二段144號,25.05192,121.53258
16,中山區,南京東路二段146號,中山區南京東路二段146號,25.05192,121.53258
17,士林區,大西路14號,士林區大西路14號,25.08981,121.52448
18,北投區,石牌路一段71巷3弄2號,北投區石牌路一段71巷3弄2號,25.11689,121.51009
19,大安區,大安路一段51巷20號,大安區大安路一段51巷20號,25.04303,121.54691
20,士林區,葫蘆街30巷37號,士林區葫蘆街30巷37號,25.08179,121.50992
21,信義區,信義路四段401號,信義區信義路四段401號,25.03328,121.55873
22,大安區,瑞安街45號,大安區瑞安街45號,25.02972,121.54304
23,信義區,松山路541巷17號,信義區松山路541巷17號,25.03793,121.57883
24,信義區,大道路42巷14號,信義區大道路42巷14號,41.773473,-74.297524
25,松山區,南京東路五段250巷2弄24號,松山區南京東路五段250巷2弄24號,32.671614,-95.468053
26,中正區,信義路二段255號,中正區信義路二段255號,25.03419,121.52721
27,內湖區,內湖路一段737巷45號,內湖區內湖路一段737巷45號,25.08014,121.57901
28,松山區,民生東路五段44號,松山區民生東路五段44號,25.0588,121.56154
29,中山區,林森北路85巷56號,中山區林森北路85巷56號,25.04925,121.52692
30,信義區,福德街268巷26弄8號,信義區福德街268巷26弄8號,25.03973,121.58625
31,中山區,松江路188巷6號,中山區松江路188巷6號,25.05667,121.53218
32,大安區,信義路二段228巷9號,大安區信義路二段228巷9號,25.03293,121.53189
33,大安區,延吉街110號,大安區延吉街110號,25.04076,121.55451
34,中山區,龍江路318巷2號,中山區龍江路318巷2號,25.06471,121.54085
35,中山區,林森北路107巷40號,中山區林森北路107巷40號,25.04995,121.52635
36,信義區,吳興街220巷17號,信義區吳興街220巷17號,25.02749,121.56258
37,信義區,永吉路225巷4弄27號,信義區永吉路225巷4弄27號,25.04625,121.57354
38,大安區,和平東路一段11巷9之3號,大安區和平東路一段11巷9之3號,25.02821,121.52272
39,北投區,致遠一路二段12巷5弄6號,北投區致遠一路二段12巷5弄6號,38.672486,-87.161613
40,南港區,玉成街235巷18號,南港區玉成街235巷18號,25.04337,121.58611
41,大同區,延平北路四段235巷3號,大同區延平北路四段235巷3號,25.07592,121.51258
42,松山區,新東街16巷7號,松山區新東街16巷7號,25.05812,121.56666
43,信義區,吳興街284巷24弄54號,信義區吳興街284巷24弄54號,25.02334,121.56184
